X1,CaseID,Response_Legal,OpenEnd_Legal,Coded_Legal,Response_Medical,OpenEnd_Medical,Coded_Medical_A,Coded_Medical_B,weight1,weight2,weight3,tm_start,tm_finish,duration,XSPANISH,XPRIMELAN,XLANG,Order_Q9_Q10_First,Order_Q9_Q10_Second,DOV_Q14_More,DOV_Q14_Fewer,DOV_Q14_About,DOV_Q14_Havent,DOV_Q57a,Order_Q20_Q22_First,Order_Q20_Q22_Second,Order_Q20_Q22_Third,DOV_Q20_E,DOV_Q20_F,Order_Q20_a,Order_Q20_b,Order_Q20_c,Order_Q20_d,Order_Q20_e,Order_Q20_f,DOV_Q21_E,DOV_Q21_F,Order_Q21_a,Order_Q21_b,Order_Q21_c,Order_Q21_d,Order_Q21_e,Order_Q21_f,DOV_Q22_E,DOV_Q22_F,Order_Q22_a,Order_Q22_b,Order_Q22_c,Order_Q22_d,Order_Q22_e,Order_Q22_f,Order_Q29_Q30_First,Order_Q29_Q30_Second,Order_Q36A_Q36B_First,Order_Q36A_Q36B_Second,Order_Q38A_Q38B_First,Order_Q38A_Q38B_Second,Order_Q41A_Q41B_First,Order_Q41A_Q41B_Second,Order_Q49_Q57_A,Order_Q49_Q57_E,Order_Q49_Q57_G,Order_Q49_Q57_H,Order_Q49_Q57_I,Q2,Q4A,Q5,Q9a,Q9b,Q9c,Q9e,Q9f,Q9g,Q9h,Q9i,Q10a,Q10b,Q10c,Q10e,Q10f,Q10g,Q10h,Q10i,Q11,Q12,Q14,Q15,Q17,Q18,Q20,Q21,Q22,Q27,Q29,Q30,Q32B,Q33B,Q34,Q35,Q36A,Q36B,Q37,Q38A,Q38B,Q39,Q41A,Q41B,Q42,Q43,Q44,Q44A,Q44A1,Q45,Q46,Q47,Q48B,Q48b1,Q49_A,Q50_A,Q51_A,Q52_A,Q53_A,Q54_A,Q55_A,Q56_A,Q49_E,Q50_E,Q51_E,Q52_E,Q55_E,Q56_E,Q57a_E,Q57b_E,Q49_G,Q50_G,Q51_G,Q52_G,Q55_G,Q56_G,Q57a_G,Q57b_G,Q49_H,Q50_H,Q51_H,Q52_H,Q55_H,Q56_H,Q57a_H,Q57b_H,Q49_I,Q51_I,Q50_I,Q52_I,Q55_I,Q56_I,Q57a_I,Q57b_I,Q58A,Q58C,Q59A_1,Q59A_2,Q59A_3,Q59A_4,Q59A_5,Q59A_6,Q59A_7,Q59A_8,Q59A_9,PPAGE,ppagecat,ppagect4,PPEDUC,PPEDUCAT,PPETHM,PPGENDER,PPHHHEAD,PPHHSIZE,PPHOUSE,PPINCIMP,PPMARIT,PPMSACAT,PPREG4,ppreg9,PPRENT,PPSTATEN,PPT01,PPT25,PPT612,PPT1317,PPT18OV,PPWORK,PPNET,PPRACEM,pppa0197,pppa0012
11,14,2,NA,"NA",2,NA,"NA",NA,1.65,0.64,1.43,3/25/11 23:20,3/25/11 23:35,14,1,5,8,1,2,NA,NA,NA,NA,1,3,1,2,0,1,1,4,2,3,NA,5,1,0,3,4,2,5,1,NA,1,0,2,1,4,5,3,NA,1,2,2,1,2,1,1,2,1,2,3,4,5,4,3,2,2,2,1,2,2,3,2,2,2,2,1,2,2,3,2,2,4,2,NA,NA,NA,NA,3,3,2,1,4,1,3,3,3,3,3,3,4,2,3,3,3,2,4,3,3,2,NA,4,3,3,2,NA,3,4,4,3,4,4,2,2,2,3,3,3,3,3,3,NA,2,3,3,3,3,3,3,NA,2,3,3,3,3,3,3,NA,2,2,NA,2,3,3,3,NA,2,2,0,1,1,0,0,0,0,0,0,32,2,2,12,4,1,1,1,2,1,12,1,1,3,6,1,62,0,0,0,0,2,1,1,1,1,6
12,15,1,Since I am not guilty of any crimes I don't think it would hurt me.,trust,1,"If a sample of my DNA could help researchers find cures for diseases or identify potential future problems, I would submit my DNA sample.",medical cure,trust,5.05,1.96,4.39,3/25/11 23:21,3/25/11 23:52,30,1,5,8,1,2,NA,NA,NA,NA,1,1,2,3,1,0,3,4,2,5,1,NA,1,0,2,1,4,5,3,NA,0,1,5,3,4,2,NA,1,2,1,1,2,1,2,2,1,1,2,3,4,5,5,4,2,1,1,1,2,1,1,3,3,1,1,1,2,1,2,3,3,3,2,NA,NA,NA,NA,3,3,2,1,3,4,1,4,1,4,4,1,4,2,2,2,1,1,4,2,3,1,"If a sample of my DNA could help researchers find cures for diseases or identify potential future problems, I would submit my DNA sample.",3,2,2,1,Since I am not guilty of any crimes I don't think it would hurt me.,1,2,3,3,1,3,4,3,1,2,3,3,3,3,3,NA,1,1,2,2,3,3,3,NA,1,1,2,2,3,3,3,NA,1,1,NA,1,3,3,3,NA,2,1,0,1,1,0,0,0,0,0,0,56,5,3,10,3,1,2,1,1,3,8,5,1,1,2,2,22,0,0,0,0,1,4,1,1,1,4
13,16,1,"It might help decide a court case, or prove my innocence in some situation.",interest,1,It might further some advance in medicine or have some other benefit.,value,NA,0.97,0.38,0.85,3/25/11 23:23,3/25/11 23:59,36,1,5,8,1,2,NA,NA,NA,NA,0,2,3,1,1,0,2,1,4,5,3,NA,0,1,5,3,4,2,NA,1,1,0,5,1,4,2,3,NA,1,2,2,1,2,1,1,2,5,1,2,3,4,4,2,2,1,1,1,2,2,3,3,3,1,2,1,2,2,3,3,3,2,2,NA,NA,NA,NA,3,3,2,1,1,1,1,3,1,3,3,2,4,2,1,-1,1,1,4,2,3,1,It might further some advance in medicine or have some other benefit.,1,1,3,1,"It might help decide a court case, or prove my innocence in some situation.",1,1,3,2,1,4,2,1,1,1,3,4,2,1,NA,1,1,1,3,4,2,1,NA,1,1,1,3,4,2,1,NA,1,1,1,NA,1,3,1,NA,1,1,1,0,1,1,1,0,0,0,0,0,53,4,3,12,4,1,1,1,2,1,16,1,1,2,3,1,35,0,0,0,0,2,1,1,1,1,2
14,17,2,WHY NOT,trust,2,I THINK IT WILL BE GREAT THINGS TO KNOW AND FIND OUT,value,NA,1.84,0.72,1.6,3/25/11 23:23,3/25/11 23:38,15,1,5,8,1,2,NA,NA,NA,NA,1,3,1,2,0,1,5,3,4,2,NA,1,1,0,5,1,4,2,3,NA,1,0,5,1,2,4,3,NA,2,1,1,2,1,2,2,1,5,1,2,3,4,4,3,2,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,3,4,2,NA,NA,NA,NA,3,4,4,1,4,2,2,3,2,3,3,2,3,3,3,2,2,2,3,-1,3,2,I THINK IT WILL BE GREAT THINGS TO KNOW AND FIND OUT,2,2,3,2,WHY NOT,1,2,2,2,2,3,3,3,1,2,2,2,4,4,3,NA,1,2,2,2,3,3,3,NA,1,2,2,2,3,4,3,NA,1,2,NA,2,3,3,3,NA,2,1,0,1,1,0,1,1,0,0,0,35,3,2,9,2,1,2,1,4,3,7,6,1,3,5,2,59,0,0,0,1,3,1,1,1,1,4
15,18,2,NA,"NA",2,NA,"NA",NA,0.45,0.84,0.39,3/25/11 23:23,3/25/11 23:34,11,1,5,8,1,2,NA,NA,NA,NA,1,1,2,3,1,0,5,1,4,2,3,NA,1,0,5,1,2,4,3,NA,0,1,4,1,3,2,NA,5,1,2,2,1,2,1,1,2,4,5,1,2,3,4,3,2,1,1,1,2,1,1,2,3,1,1,1,2,1,1,2,2,3,2,NA,NA,NA,NA,3,3,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,-1,4,3,2,2,NA,3,2,2,2,NA,2,2,2,2,2,2,2,1,2,2,2,2,2,1,4,NA,2,2,2,2,2,1,4,NA,2,2,2,2,2,1,4,NA,2,2,NA,2,2,1,4,NA,2,1,0,1,1,1,1,0,0,0,0,19,1,1,10,3,3,1,0,4,1,19,5,1,4,9,1,93,0,0,0,1,3,4,1,4,1,5
16,19,3,...,"NA",3,...,XX,NA,5.18,2.01,4.49,3/25/11 23:24,3/25/11 23:33,9,1,5,8,1,2,NA,NA,NA,NA,0,2,3,1,1,0,5,1,2,4,3,NA,0,1,4,1,3,2,NA,5,1,0,5,3,4,1,2,NA,2,1,1,2,1,2,2,1,4,5,1,2,3,5,4,2,1,1,1,2,2,2,2,3,1,2,2,2,3,3,2,3,-1,2,NA,NA,NA,NA,4,4,3,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,3,...,4,2,2,3,...,2,2,2,2,3,3,2,3,2,2,2,-1,2,3,NA,3,2,2,2,2,1,1,NA,3,2,2,2,2,3,3,NA,3,2,2,NA,2,3,3,NA,3,2,2,1,0,0,0,0,0,0,0,0,25,2,1,12,4,1,1,1,4,1,17,5,1,2,3,2,31,0,0,0,0,4,1,1,1,1,5
17,20,1,if it would help,need more information,1,if it would help,value,NA,7.2,2.8,6.25,3/25/11 23:24,3/26/11 0:11,46,1,5,8,1,2,NA,NA,NA,NA,0,3,1,2,0,1,4,1,3,2,NA,5,1,0,5,3,4,1,2,NA,1,0,4,2,5,3,1,NA,1,2,2,1,2,1,1,2,3,4,5,1,2,5,3,2,1,1,1,2,3,3,2,3,2,3,3,2,3,3,3,3,4,2,NA,NA,NA,NA,1,1,2,1,2,1,2,3,4,1,4,1,4,1,1,4,4,1,4,1,4,1,if it would help,1,1,4,1,if it would help,3,4,4,4,4,1,2,1,3,1,4,4,2,1,NA,3,2,4,2,2,3,4,NA,1,1,1,3,1,1,1,NA,1,1,4,NA,1,2,1,NA,1,1,1,0,1,1,0,1,0,0,0,0,21,1,1,10,3,1,1,0,3,1,17,5,1,1,1,1,16,0,0,0,0,3,1,1,1,1,5
18,21,1,anything,indeterminate willing,2,take sample,XX,NA,0.72,1.3,1.3,3/25/11 23:25,3/25/11 23:33,7,1,1,3,1,2,2,1,3,4,0,2,3,1,1,0,5,3,4,1,2,NA,1,0,4,2,5,3,1,NA,0,1,5,4,3,1,NA,2,1,2,2,1,2,1,1,2,1,2,3,4,5,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,1,1,1,3,6,4,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,take sample,1,1,1,1,anything,2,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,NA,1,1,1,1,0,0,0,0,0,0,0,0,26,2,1,9,2,4,1,0,2,1,3,5,0,4,8,1,87,0,0,0,0,2,6,1,1,1,4
19,22,4,get your swabs out of my face!,indeterminate unwilling,4,what ever i am is just none of your business.,privacy,NA,1.98,0.77,1.72,3/25/11 23:26,3/26/11 0:01,34,1,5,8,1,2,NA,NA,NA,NA,1,2,3,1,1,0,4,2,5,3,1,NA,0,1,5,4,3,1,NA,2,1,0,3,2,1,4,5,NA,1,2,2,1,2,1,1,2,1,2,3,4,5,5,4,2,1,1,1,2,3,3,3,3,1,1,1,2,2,3,3,3,4,2,NA,NA,NA,NA,3,1,1,1,4,4,4,4,4,4,4,4,4,3,3,3,1,1,4,4,1,4,what ever i am is just none of your business.,4,2,2,4,get your swabs out of my face!,3,4,4,4,4,1,2,1,2,4,4,4,2,1,4,NA,2,4,4,4,2,1,3,NA,2,4,4,4,2,1,3,NA,1,4,NA,2,2,2,3,NA,2,2,1,0,0,0,0,0,0,0,0,59,5,3,9,2,1,1,1,1,1,3,3,0,2,3,1,34,0,0,0,0,1,6,0,1,1,6
20,23,3,NA,"NA",3,not their business,privacy,NA,0.3,0.56,0.26,3/25/11 23:27,4/15/11 20:49,30082,1,5,8,2,1,NA,NA,NA,NA,1,3,1,2,0,1,5,4,3,1,NA,2,1,0,3,2,1,4,5,NA,1,0,3,4,5,2,1,NA,2,1,1,2,1,2,2,1,1,2,3,4,5,3,2,2,1,1,1,2,2,1,2,3,1,1,1,2,2,1,2,2,4,2,NA,NA,NA,NA,1,3,1,3,4,4,2,2,2,2,2,2,2,2,2,3,2,2,4,2,2,3,not their business,2,2,2,3,NA,2,-1,2,2,2,2,4,4,2,2,2,2,4,4,3,NA,2,2,2,2,4,4,3,NA,2,2,2,2,4,4,3,NA,2,2,NA,2,4,4,3,NA,2,2,0,1,1,1,0,0,0,0,0,52,4,3,13,4,3,2,1,4,1,17,1,1,4,9,1,93,0,0,0,2,2,1,1,4,NA,NA
21,24,4,none,indeterminate unwilling,4,none,XX,NA,4.94,1.92,4.29,3/25/11 23:27,3/25/11 23:33,6,1,5,8,1,2,NA,NA,NA,NA,1,1,2,3,1,0,3,2,1,4,5,NA,1,0,3,4,5,2,1,NA,0,1,4,2,3,5,NA,1,1,2,2,1,2,1,1,2,5,1,2,3,4,5,4,2,3,3,3,3,3,3,3,3,-1,3,2,1,3,2,3,1,4,2,NA,NA,NA,NA,1,1,3,1,4,4,3,3,4,3,4,3,3,3,3,3,4,3,4,4,4,4,none,4,4,3,4,none,3,4,4,4,4,4,4,4,1,4,4,4,4,4,4,NA,3,4,4,4,4,4,4,NA,3,4,4,4,4,4,4,NA,2,4,NA,3,4,3,3,NA,2,2,1,0,0,0,0,0,0,0,0,24,1,1,10,3,1,2,1,4,3,6,1,1,2,4,2,42,0,2,0,0,2,6,1,1,1,4
22,25,1,i have nothing to hide,trust,4,i am not willing to be part of an experiment,XX,NA,0.49,1.04,0.42,3/25/11 23:27,3/25/11 23:48,20,1,5,8,1,2,NA,NA,NA,NA,0,2,3,1,1,0,3,4,5,2,1,NA,0,1,4,2,3,5,NA,1,1,0,4,2,5,3,1,NA,2,1,1,2,1,2,2,1,5,1,2,3,4,4,2,2,1,1,1,2,2,1,2,3,1,1,1,2,3,1,3,3,2,-1,NA,NA,NA,NA,3,1,1,3,4,4,2,3,2,3,2,2,2,3,2,1,1,1,4,3,2,4,i am not willing to be part of an experiment,1,1,1,1,i have nothing to hide,1,3,4,4,2,2,2,4,1,2,2,3,2,4,NA,1,1,2,4,4,2,4,NA,1,1,2,4,4,2,4,NA,1,1,2,NA,2,3,3,NA,1,2,2,0,1,1,0,0,0,0,0,0,75,7,4,10,3,2,1,1,2,2,7,1,1,1,2,1,23,0,0,0,0,2,5,1,2,1,4
23,26,1,"If it is going to prove my innocence, I'd do it.",interest,1,To further scientific research.  I believe that DNA research may be the key for finding cures for all the diseases humans suffer.,medical cure,NA,0.28,0.52,0.24,3/25/11 23:28,3/26/11 1:04,95,1,5,8,1,2,NA,NA,NA,NA,0,3,1,2,0,1,4,2,3,5,NA,1,1,0,4,2,5,3,1,NA,1,0,4,5,3,1,2,NA,1,2,2,1,2,1,1,2,4,5,1,2,3,4,3,2,1,2,1,1,2,3,2,3,1,2,1,1,2,3,2,3,3,2,NA,NA,NA,NA,3,3,1,1,4,1,1,4,4,1,4,1,2,2,3,1,1,1,3,1,3,1,To further scientific research.  I believe that DNA research may be the key for finding cures for all the diseases humans suffer.,3,1,3,1,"If it is going to prove my innocence, I'd do it.",1,1,3,3,1,1,2,2,1,1,2,3,2,1,NA,4,1,1,2,3,2,1,NA,4,1,1,2,3,2,1,NA,4,1,2,NA,2,2,1,NA,4,1,1,0,1,1,1,0,0,0,0,0,69,6,4,10,3,3,2,1,1,1,16,2,1,4,9,1,93,0,0,0,0,1,5,1,4,1,2
