X1,CaseID,Response_Legal,OpenEnd_Legal,Coded_Legal,Response_Medical,OpenEnd_Medical,Coded_Medical_AB,Coded_Medical,weight1,weight2,tm_start,tm_finish,duration,XSPANISH,XHISPAN,XGenes,DOV_ACSLANG,Q2,DOV_ORDER_Q9_Q10,DOV_ORDER_Q9,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q27,DOV_ORDER_Q29_Q30,Q29,Q30,Q42,Q43,Q44,Q44a,Q44a1,Q45,Q46,Q47,Q48B,Q48b1,DOV_ORDER_Q49,Q49_A,Q49_B,Q49_G,Q49_H,Q49_I,Q50_A,Q50_B,Q50_G,Q50_H,Q51_A,Q51_B,Q51_G,Q51_H,Q51_I,Q52_A,Q52_B,Q52_G,Q52_H,Q52_I,Q53,Q54,DOV_ORDER_Q1_New,Q1_New_1,Q1_New_2,Q1_New_3,Q1_New_4,Q1_New_5,Q1_New_6,Q1_New_7,Q1_New_8,DOV_ORDER_Q2_New,Q2_New_1,Q2_New_2,Q2_New_3,Q2_New_4,Q2_New_5,Q2_New_6,Q3_New,Q3A_New,Q4_New,Q5_New,Q5B_New_1,Q5B_New_2,Q5B_New_3,Q5B_New_Refused,DOV_ORDER_Q6_New,Q6_New_1,Q6_New_2,Q6_New_3,Q6_New_4,Q6_New_5,Q6_New_6,DOV_ORDER_Q7_New,Q7_New_1,Q7_New_2,Q7_New_3,Q7_New_4,Q7_New_5,Q7_New_6,Q8_New,PPAGE,ppagecat,ppagect4,PPEDUC,PPEDUCAT,PPETHM,PPGENDER,PPHHHEAD,PPHHSIZE,PPHOUSE,PPINCIMP,PPMARIT,PPMSACAT,PPREG4,ppreg9,PPRENT,PPSTATEN,PPT01,PPT25,PPT612,PPT1317,PPT18OV,PPWORK,race1,race2,race3,race4,race5,race6,race7,race8,race9,race10,race11,race12,race13,race14,race15,partyid7,ppp10012,pph10001,pph1acid,pph1adhd,pph1brea,pph1canc,pph1pain,pph1diab,pph1eyed,pph1gastr,pph1hatk,pph1hepc,pph1hype,pph1chol,pph1aids,pph1kidn,pph1meno,pph1ms,pph1liver,pph1osar,pph1oste,pph1psor,pph1pah,pph1arth,pph1alle,pph1sexd,pph1inso,pph1stro,pph1ufib,pph1none,pppa1690
11,11,1,This DNA use has been useful in proving both the innocence and guilt of a person charged with committing a crime.,trust,1,The information obtained from DNA could be valuable in the research of cures for deceases in different ethnic backgrounds.,Coded_Medical_A,medical cure,0.7774,1.3298,9/22/17,9/22/17,23,1,1,1,5,5,"Q10,Q9",NA,1,1,1,2,2,1,2,3,1,1,2,2,3,3,3,3,1,NA,4,4,4,1,3,1,NA,2,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,2,1,1,1,2,NA,1,1,1,3,5,4,4,2,NA,4,1,1,2,2,3,3,NA,1,3,NA,NA,NA,NA,NA,3,3,4,1,1,2,NA,4,2,1,2,2,2,1,66,6,4,9,2,2,2,1,4,2,15,2,1,1,2,1,23,0,0,0,2,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,3,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
12,13,1,"I worked for law enforcement. It will help solve a lot of umsolved or cold cases that need to be resolved. If I don't commit a crime I don't have anything to worry about. Same token, if I am deceased, will help identify who I am.",interest,1,"I have joined 23 and me as well as my immediate family and siblings, Very informative on your particular health issues.",Coded_Medical_A,interest,0.2158,0.6927,9/22/17,9/22/17,34,1,1,1,5,1,"Q10,Q9",NA,1,2,1,2,1,2,2,3,1,2,1,2,1,2,3,3,1,NA,3,3,2,1,2,1,NA,1,1,2,1,NA,NA,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,1,1,NA,1,1,1,5,5,5,5,5,NA,3,1,2,1,3,4,1,NA,1,2,1,1,1,0,NA,3,3,3,2,2,2,NA,3,2,3,2,3,3,1,62,5,4,12,4,3,2,1,3,1,18,1,1,4,9,1,93,0,0,0,0,3,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,4,3,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
13,14,3,NA,"NA",3,NA,Coded_Medical_A,"NA",0.1914,0.3274,9/22/17,9/22/17,6,1,1,1,5,4,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,NA,4,4,4,3,3,3,NA,3,2,3,3,NA,NA,2,2,2,2,2,2,2,3,3,3,4,2,2,3,2,3,3,3,2,2,3,NA,3,3,3,3,3,-1,3,3,NA,2,2,2,2,2,2,3,NA,2,2,0,1,0,0,NA,3,3,3,3,-1,3,NA,2,2,2,2,2,2,2,72,6,4,11,3,2,1,1,1,3,9,3,1,3,5,2,58,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
14,15,1,same as before,indeterminate willing,1,I don't have a problem with that,Coded_Medical_A,indeterminate willing,0.1084,0.1854,9/22/17,9/22/17,28,1,1,1,5,4,"Q10,Q9",NA,1,2,1,2,1,2,3,2,1,2,1,2,3,2,2,2,1,"Q29,Q30",4,4,4,2,2,1,NA,2,2,2,1,NA,NA,1,1,1,1,1,2,2,2,2,2,2,3,2,2,3,2,2,2,2,1,1,NA,1,2,3,4,5,5,4,-1,NA,3,1,2,2,3,3,3,NA,2,2,1,0,0,0,NA,2,2,3,5,2,4,NA,3,1,2,1,2,2,2,77,7,4,12,4,2,1,1,1,1,13,1,0,3,6,1,64,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1
15,16,1,Heard or read where this has helped in solving crimes and/or proving the innocence of a wrongly convitred person.,exoneration/innocence,1,To aid in research.,Coded_Medical_A,value,0.3908,0.6684,9/22/17,9/22/17,30,1,1,1,5,5,NA,NA,1,2,1,3,2,3,3,3,2,2,1,3,3,3,3,3,3,NA,4,4,4,2,1,1,To aid in research.,3,1,1,1,Heard or read where this has helped in solving crimes and/or proving the innocence of a wrongly convitred person.,"h,g,a,i,b",1,1,2,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,-1,"e,h,g,b,a,f,d,c",3,4,3,2,2,2,2,1,NA,2,2,2,2,2,2,4,NA,2,2,1,0,0,0,NA,2,2,3,3,2,3,NA,2,1,1,2,2,2,2,75,7,4,10,3,2,2,1,2,1,13,1,1,3,5,1,52,0,0,0,0,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,NA,0,1
16,17,4,Invasion of my privacy,privacy,2,Perhaps I may find some things out about myself regsrdimg my health,Coded_Medical_A,interest,0.3728,0.6376,9/22/17,9/23/17,39,1,1,1,5,3,"Q10,Q9",NA,1,2,1,2,2,3,2,3,1,2,1,1,2,3,3,3,1,"Q29,Q30",4,1,3,2,2,2,NA,2,4,4,4,NA,NA,1,1,1,2,2,1,3,3,3,3,4,4,4,4,3,4,4,4,3,1,1,NA,1,2,1,2,4,3,3,2,NA,2,1,1,1,1,3,3,NA,1,1,NA,NA,NA,NA,NA,1,3,4,2,2,3,NA,2,1,1,1,1,3,3,47,4,3,12,4,2,1,1,1,1,18,5,1,1,2,1,22,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
17,18,4,NA,"NA",3,NA,Coded_Medical_A,"NA",0.2583,0.4418,9/22/17,9/23/17,70,1,1,1,5,4,NA,NA,1,1,1,2,1,3,2,3,1,1,1,2,3,3,3,3,1,NA,4,4,3,3,2,3,NA,1,1,1,4,NA,NA,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,3,4,3,3,3,3,3,2,NA,3,2,2,3,2,3,3,NA,2,2,1,0,0,0,NA,3,2,4,4,3,5,NA,2,2,2,2,2,1,2,52,4,3,14,4,2,1,1,5,1,18,1,1,4,9,1,93,0,0,2,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
18,19,4,na,"NA",2,for future research,Coded_Medical_A,value,0.3656,1.1735,9/22/17,9/22/17,8,1,1,1,5,5,NA,NA,1,1,1,2,2,2,3,2,2,2,2,2,2,2,2,2,1,NA,4,4,4,2,2,2,NA,3,3,3,4,NA,NA,1,3,1,1,3,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,NA,4,4,3,3,1,3,3,4,NA,3,1,2,1,3,3,4,NA,2,2,0,1,0,0,NA,3,2,3,3,1,2,NA,3,1,2,1,2,3,2,27,2,1,10,3,3,2,0,4,2,13,1,1,4,9,2,93,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2
19,20,2,I believe in this effort a person may not fear wrongful claims.,trust,1,"If giving a sample in this study can contribute to medical research, I am agreeable.",Coded_Medical_A,value,1.0964,0.6734,9/22/17,9/23/17,28,1,1,1,5,4,"Q10,Q9",NA,1,1,1,3,2,2,3,3,1,2,1,3,3,3,2,3,1,"Q29,Q30",4,4,4,2,2,1,NA,3,2,2,2,NA,NA,2,1,1,1,1,3,1,1,1,2,1,1,1,1,2,1,1,1,1,2,3,NA,1,1,1,3,3,3,4,3,NA,3,2,3,3,2,3,2,NA,1,3,NA,NA,NA,NA,NA,3,3,3,2,2,3,NA,3,2,2,3,2,3,1,74,6,4,9,2,1,2,1,2,1,15,1,1,1,1,1,16,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
20,21,2,NA,"NA",2,NA,Coded_Medical_A,"NA",0.2124,0.3632,9/23/17,9/23/17,11,1,1,1,5,4,NA,NA,1,1,1,1,1,1,2,3,1,2,1,3,1,2,1,3,3,NA,4,4,4,2,2,2,NA,2,1,1,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,3,3,3,3,3,3,3,3,NA,2,2,2,1,2,2,3,NA,1,2,0,1,0,0,NA,3,3,3,3,3,3,NA,2,2,1,2,2,2,2,63,5,4,11,3,2,1,1,1,3,6,3,1,4,9,2,93,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
21,22,3,I do not like the idea of being mixed in with criminal activities.,mistrust,2,I would like to know more about the human race all colors.  To learn the differences as well as similarities.,Coded_Medical_A,interest,0.1618,0.2768,9/23/17,9/23/17,29,1,1,1,5,3,NA,NA,1,1,1,2,2,3,2,3,1,2,1,2,2,3,2,3,1,"Q29,Q30",2,3,4,2,2,2,NA,3,2,2,3,NA,NA,1,1,3,2,3,1,2,2,1,2,2,2,2,2,4,3,4,4,2,2,2,NA,2,2,3,4,4,4,4,3,NA,3,2,3,2,1,3,3,NA,2,2,1,0,0,0,NA,2,3,5,4,2,2,NA,3,1,2,3,1,2,3,67,6,4,12,4,2,2,1,2,3,13,1,1,3,5,2,56,0,0,0,0,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
22,23,3,NA,"NA",3,NA,Coded_Medical_A,"NA",1.427,0.8764,9/23/17,9/23/17,28,1,1,1,5,5,NA,NA,1,1,1,1,2,3,2,3,1,1,1,1,2,3,2,3,3,"Q29,Q30",4,4,4,3,3,3,NA,4,3,3,3,NA,NA,2,2,2,2,2,4,4,4,4,4,4,4,4,2,4,4,4,4,2,3,3,NA,3,3,3,3,3,3,3,3,NA,3,1,3,3,2,3,3,NA,2,2,1,1,0,0,NA,3,3,3,3,3,3,NA,3,3,3,3,3,3,2,48,4,3,13,4,1,2,1,3,1,15,1,0,2,4,2,42,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
23,24,1,To eliminate me as a suspect,interest,2,I would want to help medicine,Coded_Medical_A,medical cure,1.2949,0.7953,9/23/17,9/23/17,23,1,1,1,5,5,NA,NA,1,-1,1,2,2,-1,-1,-1,1,1,1,2,2,3,2,3,3,"Q29,Q30",4,1,4,3,3,2,NA,2,3,3,1,NA,NA,2,1,2,2,1,2,2,2,2,4,4,4,4,1,3,3,3,3,1,2,3,NA,2,3,2,2,2,3,2,2,NA,2,1,2,2,1,1,2,NA,2,1,NA,NA,NA,NA,NA,2,3,2,4,2,3,NA,2,1,2,2,1,1,2,76,7,4,9,2,1,2,1,2,1,12,1,1,4,8,1,86,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3
24,25,2,If it would prove my innocence or eliminate me as a suspect.,interest,2,"If I had a genetic marker that would help in testing, etc.",Coded_Medical_A,value,0.1176,0.3774,9/23/17,9/23/17,22,1,1,1,5,4,NA,NA,2,2,1,2,2,1,2,3,2,2,1,2,2,1,2,3,1,"Q29,Q30",4,4,4,2,2,2,NA,3,2,2,2,NA,NA,1,1,1,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,NA,3,3,3,3,3,3,3,3,NA,4,-1,-1,2,-1,4,3,NA,1,2,1,1,0,0,NA,3,-1,3,3,3,3,NA,4,3,2,2,3,4,2,67,6,4,12,4,3,2,1,2,1,8,5,1,4,9,1,93,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
25,26,2,NA,"NA",2,Just wanted to try,Coded_Medical_A,interest,2.341,1.4377,9/23/17,9/23/17,7,1,1,1,5,3,NA,NA,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,"Q29,Q30",4,4,4,3,3,2,NA,3,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,3,3,3,3,3,3,3,3,NA,3,3,3,3,3,3,3,NA,2,1,NA,NA,NA,NA,NA,3,3,3,3,3,3,NA,3,3,3,3,3,3,2,43,3,2,11,3,1,1,1,1,3,3,5,0,1,1,2,11,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
26,27,3,"again, don't know how it would be used and what my right to privacy would be",mistrust,3,don't know how it would be used,Coded_Medical_A,mistrust,1.6146,0.9916,9/23/17,9/23/17,14,1,1,1,5,4,"Q10,Q9",NA,1,2,1,3,2,3,2,3,1,3,1,3,3,3,2,3,1,"Q29,Q30",4,1,4,3,1,3,NA,3,2,1,3,NA,NA,2,2,2,2,1,2,3,3,3,2,3,3,3,2,3,4,4,4,2,2,2,NA,3,3,2,3,5,4,3,3,NA,2,1,1,1,2,2,3,NA,2,2,1,0,0,0,NA,2,4,4,3,3,4,NA,2,1,1,1,2,2,2,64,5,4,12,4,1,2,1,2,1,18,1,1,4,9,1,91,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
